"”N","1ŒŽ","2ŒŽ","3ŒŽ","4ŒŽ","5ŒŽ","6ŒŽ","7ŒŽ","8ŒŽ","9ŒŽ","10ŒŽ","11ŒŽ","12ŒŽ","”N‚Ì’l"
1951,-6.3,-5,-1.2,5.8,12.2,15.9,19.7,24,15.6,9.7,4,-0.5,7.8
1952,-4.8,-6.9,-1.4,6.1,11.4,16.4,20.4,21.3,16.4,10.5,1.5,-6,7.1
1953,-6.6,-6.1,0.1,5.5,11.3,15.5,20.1,20.2,16.8,10.3,0.3,-1.8,7.1
1954,-5.4,-3.1,-1.3,6.8,10.6,13.8,17.7,20.6,18,9.4,3.7,-0.7,7.5
1955,-5.8,-3.7,-0.8,6,10.2,16.3,23.7,22.3,16.2,10.8,3.8,-0.1,8.2
1956,-5.2,-4.6,0,6.3,14,14.9,18.2,19.1,17.5,11.9,3.5,-3.8,7.7
1957,-4.2,-5.1,-1.9,6.5,12.1,14.1,19.7,21.6,15.7,10.8,5.3,-0.1,7.9
1958,-3.8,-2.4,-0.5,5.8,11.4,15.9,20.1,20.8,16.9,10.4,4.2,0,8.2
1959,-5.4,-1.9,1.6,8.4,12.9,15.7,20.1,21.3,17.2,11.3,3.4,-2.4,8.5
1960,-6.2,-3.2,-0.4,5.2,11,15.3,20,23,18,10.2,4.6,-3,7.9
1961,-6.2,-4,0,7.4,12.5,17.5,21.6,21.7,19.3,10.9,4.2,-1.2,8.6
1962,-3.6,-3.9,-0.9,8.4,12.7,16.1,20.1,20.6,17.7,9.7,3.6,-0.9,8.3
1963,-4.7,-2.9,1.1,6.6,12.9,15.6,20.3,21.5,16,10.6,5.4,0.1,8.5
1964,-3.8,-6.1,0.2,6.2,12.7,15.8,18.7,21.5,15.7,9.4,3.9,-1.7,7.7
1965,-2.8,-4.3,-1.2,4.6,11.8,16.1,18.6,22.1,17.2,10.5,3.7,-2,7.9
1966,-4.7,-3.9,0.8,5.4,12.2,15.7,18.5,22,15.8,12.3,4.9,-4.2,7.9
1967,-6.3,-4.4,0.6,6.5,13.6,15.7,20.9,22.1,16.3,10.4,2.7,-2.1,8
1968,-3.4,-4.8,1.8,7.1,11.6,16.7,20.6,20.8,17.1,8.7,6.2,0.6,8.6
1969,-5.5,-5.3,-1.4,6,11,15,20.6,19.6,16.4,9.8,3.8,-3.6,7.2
1970,-5.9,-3,-3,5.9,13.8,16,21.4,21.5,17.4,11.2,4.9,-2.2,8.2
1971,-5,-3.7,0,6.4,10.4,14.4,19,20.3,15.6,10.5,4.4,-1.4,7.6
1972,-3.9,-3.8,0.2,6.9,11.8,15.7,20.6,21.7,16.8,11.9,3.7,0,8.5
1973,-2.7,-2.3,-1.9,6.8,12.1,15.8,20.6,23,16.8,10.3,3.7,-1.9,8.4
1974,-3.3,-3.2,-0.9,6.4,12,16.1,19.9,21.3,17.3,10.5,3.1,-4,7.9
1975,-4.2,-4.4,-0.3,7.6,11.9,16.5,19.9,22.3,18.6,10.4,4.8,-3.1,8.3
